,Restaurant Name,Restaurant Cuisine,Restaurant Rating,Restaurant Delivery Time,Restaurant Distance,Discount,Promo,Images
212,Dunkin' Donuts - Funan Mall,"Western, Group Friendly, Bakery & Cake, Drinks & Beverages, Halal",4.6,20 mins,0.7 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-CYU3N7KCECKGNX/hero/3b0b21061009447c842d1e2732c0d2eb_1700120995574966320.webp
213,The Coffee Bean & Tea Leaf - CIMB Plaza,"Breakfast & Brunch, Coffee & Tea, Dessert, Halal",4.5,25 mins,1.3 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C2LXSBCJTJNGLN/hero/3d6d9a2a9d4242ffbb25e233a58e8838_1648777871387250945.webp
214,LiHO TEA - Funan,"Coffee & Tea, Drinks & Beverages, Bubble Tea, Group Friendly",4.5,25 mins,0.7 km,Free Delivery (Min. spend S$20) with GrabUnlimited,True,https://food-cms.grab.com/compressed_webp/merchants/4-CZCBCGNXAY5ACA/hero/39e32f0d1e7d462a93d916ac2e1b3862_1713173221414446151.webp
215,Lucky69 Beer Cafe - North Canal Road,"Snack, Alcohol, Western",5,25 mins,1.4 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C2LAR3XHVP4EME/hero/b593bdd9185440388a4aad0dac2777b4_1632708614969143673.webp
216,Chalong - Charcoal Grill Meat - One Raffles Place,"Western, Thai, BBQ & Grill",4.4,30 mins,1.2 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-CZL3BB5KNBBGHE/hero/ce44509f4a044d4db864518716bc98d0_1595909978142566930.webp
217,Toast Box - Phillip Street,"Local & Malaysian, Breakfast & Brunch, Drinks & Beverages",4,25 mins,2.2 km,,False,https://food-cms.grab.com/compressed_webp/merchants/SGDD11205/hero/fbcf359dc72c45b589de99074d908308_1710758123415296457.webp
218,Gado & Grill - One Raffles Place,"Bento, Fried Chicken, Group Friendly",4.6,25 mins,1.2 km,,False,https://food-cms.grab.com/compressed_webp/merchants/SGDD06836/hero/GadoNGrill_Hero_16x9_1.webp
219,Humble Bakery - One Raffles Place,"Bakery & Cake, Cakes & Bakeries",5,25 mins,1.5 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C34ULBUAENKKN2/hero/5a38769db2664463a945e0bec096c3d4_1680171134213683822.webp
220,Smile Martabak - Funan,"Indonesian, Dessert, Halal",4.1,30 mins,0.6 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C3KBLATWN8L1TN/hero/ebe94f4b9bae4103bcc2ced051e7cef8_1653379940746943561.webp
221,The Alley - Funan,"Drinks & Beverages, Coffee & Tea, Bubble Tea, Group Friendly",4.5,25 mins,0.6 km,"Free Delivery (Min. spend S$22) for all, limited redemptions",True,https://food-cms.grab.com/compressed_webp/merchants/4-C26ZJFWXN3NHHA/hero/519328cccd5e4a1d9d26441949ebe11c_1652095456826891218.webp
222,Super Coco - Funan,"Dessert, Drinks & Beverages, Bubble Tea, Group Friendly",4.6,25 mins,0.8 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C3THEXDDT62YNA/hero/9148b833d9554943a9c20cd13dfbe6c1_1660725519225296127.webp
223,Cat & The Fiddle - Raffles Place MRT Station,"Frozen Food, Bakery & Cake, Dessert, Halal",4.8,20 mins,1.2 km,Free Delivery (Min. spend S$45) with GrabUnlimited,True,https://food-cms.grab.com/compressed_webp/merchants/4-C22UMAVDRYDYCE/hero/145c5d33-7361-4d30-be0a-e75637a4c5d1__store_cover__2024__04__05__09__32__11.webp
224,Un-Yang-Kor-Dai - South Bridge,"Thai, Noodles, Islandwide Delivery, MICHELIN Bib Gourmand, Salad",4.6,30 mins,1.1 km,,False,https://food-cms.grab.com/compressed_webp/merchants/SGDD08841/hero/0ecba0291b304534983a7dc74e4f1aa0_1624884414939821160.webp
225,Lucky Saigon - North Canal Road,"Snack, Noodles, Vegetarian Friendly",4.2,25 mins,1.5 km,,False,https://food-cms.grab.com/compressed_webp/merchants/SGDD00739/hero/6b03063c89cd499480f82eff4e6d7569_1588940685452430037.webp
226,Poke Theory - Change Alley Mall,"Salad, Healthy, Vegan, Halal, Group Friendly",4.3,30 mins,1.3 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C2BTTP4CCX6VGT/hero/ad2967e992f045f09697c5f82196b41b_1603087663607775907.webp
227,Omnivore - Oxley @ Raffles,"Western, Salad, Group Friendly",4.5,25 mins,1.2 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C2X1T3VTTKAGLX/hero/1a534df6aa604783a3f81a82e33238f4_1631172755985082885.webp
228,Sanook Kitchen - Funan Mall,Thai,4.3,25 mins,0.8 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C2E3GCCFEEWXAN/hero/5585b3c3b9b9491cbf4acb63f4540e3d_1609933011550521206.webp
229,Ikigai Izakaya - The Riverwalk,Japanese,,25 mins,1.1 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C2VDKCCGAZDEN2/hero/bab9a55e36164c5c8c6dc777d96cafd0_1624354447742454144.webp
230,&Made Gourmet Burgers - Funan Mall,"Burgers, Snack",,20 mins,0.8 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C32ET3DULETBEA/hero/26b9dd3402db4704b4e1f2245e6f4210_1677484993350407583.webp
231,Ajumma's - Funan,"Local & Malaysian, Korean",4.3,30 mins,0.8 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-CZEXGY4XWGNBTE/hero/c65126ed732743628bfe9de9e287e21b_1678693356179451758.webp
232,The Sandwich Shop - Hitachi Tower,"Western, Breakfast & Brunch, Snack, Group Friendly",4.4,30 mins,1.3 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C2UTLUVJAYWHTX/hero/53d5231a41bd44689471e5c8203ae467_1623661024345109827.webp
233,Guzman Y Gomez - Funan,"Mexican, Kids Friendly, Healthy, Group Friendly",4.2,30 mins,0.7 km,Free Delivery (Min. spend S$30) with GrabUnlimited,True,https://food-cms.grab.com/compressed_webp/merchants/4-CZEUR7LAUCDEC2/hero/16f3e885-9c12-4cb3-a2b6-1d0b1d39d182__store_cover__2023__10__02__02__43__18.webp
234,Yakiniku Shokudo - Funan Mall,"Japanese, BBQ, Grill",4.8,25 mins,0.6 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-CZJTAFBYGNLEEA/hero/398bb52fe75040418354af14fa6efb5d_1669623900775878750.webp
235,Co Nut Ink - Esplanade Theatres On The Bay,"Mart, Beverages, Dessert, Ice Cream",4.3,30 mins,  2 km,,False,https://food-cms.grab.com/compressed_webp/merchants/SGDD08898/hero/11ede75d9ffe4d59a841adbd7fd9faa0_1648784195527152638.webp
236,Namino Hana - One Raffles Place,"Bento, Drinks & Beverages, Japanese, Salad",5,25 mins,0.6 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C3VWV8NGC2VULT/hero/f885f5c110cb4162850fd85bfc6d4c94_1665453949003261890.webp
237,Kebabs Faktory - Funan,"Salad, Healthy, Halal, Fast Food, Group Friendly",4,25 mins,0.8 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-CZAWBCC1SEVYEA/hero/84f61af1e707486382eeec3dda8d734b_1712132024381532507.webp
238,CHICHA San Chen - Change Alley,"Drinks & Beverages, Coffee & Tea, Bubble Tea, Group Friendly",4.5,30 mins,1.2 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C2CUKAU3SGNYTE/hero/bd32a4cef2fe42349d2e283d084df81f_1712684666772168144.webp
239,WOK HEY - Funan,"Bento, Chinese, Local & Malaysian, Halal, Group Friendly",4.4,30 mins,0.7 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C2VKJ3U2C2JZTN/hero/3514944a53414a55849bcbbbdd3c320d_1714628938555436876.webp
240,Gion Gion - One Raffles Place,"Breakfast & Brunch, Vietnamese, Coffee & Tea",,20 mins,1.2 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C6JECJ5KCUNYTJ/hero/8e8b8013c6a2472ead8bc92429d2342c_1710492424543362000.webp
241,Tea Pulse - Royal Group Building,"Drinks & Beverages, Coffee & Tea, Bubble Tea, Group Friendly",4.8,25 mins,2.2 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-CZAJVFBBCXNJEN/hero/807c11a26b0a42d4ad1713a6d9ce4569_1623064183359890390.webp
242,Nanyang Chicken - South Bridge Road,"Bento, Local & Malaysian, Chinese",3.9,20 mins,1.1 km,,False,https://food-cms.grab.com/compressed_webp/merchants/SGDD09015/hero/cd3652c3132542aab41bd41e982fd9d8_1591241745442197947.webp
243,Fun Toast - One Raffles Place,"Local & Malaysian, Breakfast & Brunch, Coffee & Tea",4,25 mins,1.2 km,,False,https://food-cms.grab.com/compressed_webp/merchants/SGDD08530/hero/FunToast_Hero_16x9.webp
244,Manam - Upper Circular Road,"Indian, Snack, Alcohol",3.9,25 mins,1.1 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C2UWA3VBTACTA2/hero/511b1cf1eae84cd8b6eff837cc868eda_1623306641916854774.webp
245,Urban Mix - One Raffles Place,"Mexican, Salad, Vegetarian, Healthy, Group Friendly",4.6,30 mins,1.5 km,,False,https://food-cms.grab.com/compressed_webp/merchants/SGDD03136/hero/e479267ce9844b97861927f0b9cbe076_1592708033187720808.webp
246,Mr. Coconut - One Raffles Place,"Drinks & Beverages, Bubble Tea, Dessert",4.7,30 mins,1.5 km,Free Delivery (Min. spend S$25) with GrabUnlimited,True,https://food-cms.grab.com/compressed_webp/merchants/4-C2B1RVCEGEEDJA/hero/a8b55f446d164b279c5b1fa81f4711f7_1711595106782077518.webp
247,Little Ribbons Pasta Co. - Funan,"Italian, Pasta, Western",4.6,25 mins,0.8 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C3JTGTBXJAXXR2/hero/5d60888933724a0e971a3986c2baa767_1651051420887155295.webp
248,Fish Soup Paradise - Raffles Place,"Porridge, Chinese, Local & Malaysian",3.9,25 mins,1.3 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C2EVEBLHCXMJNJ/hero/1950c07d24d643699d14257d97865ae0_1611895117242343351.webp
249,Fun Wan - CIMB Plaza,"Chinese, Vegetarian Friendly, Local & Malaysian, Drinks & Beverages",4.8,25 mins,1.3 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C4NEA2WHT6VXAA/hero/733cc462-f3f5-4912-bfd9-aa128e2ceea7__store_cover__2023__11__03__09__18__51.webp
250,Ha Jun Korean - CIMB Plaza,"Japanese, Korean, Bento",4.6,25 mins,1.2 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C6B1MFC2T8JCV6/hero/40d8f19b82a44205875f2c5c2c1e5999_1704182340701550637.webp
251,Dungeon by II Fiore - Raffles Place,"Chinese, Pizza, Pasta",4.3,30 mins,1.6 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-CY5WJUTKJ24BNT/hero/d94dabe22bf148d68185d3104d206e81_1578644097066530530.webp
252,Adam Road Mee Soto - Oxley @ Raffles,"Local & Malaysian, Drinks & Beverages, Noodles",4.5,30 mins,1.6 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C3VKNTDUFBXATX/hero/78d88e9d0a4445f196ce4a79ae891c34_1666933002306927925.webp
253,Kotobuki Japanese Restaurant - One Raffles Place,"Bento, Japanese, Sushi, Group Friendly",2.6,25 mins,1.5 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C2UEME3ART53C6/hero/97e89f7c44294f6ea1ffd99136de343a_1622517331108045455.webp
254,Hennessy Duck - North Bridge Road,"Local & Malaysian, Noodles, Fried Chicken",3.5,25 mins,0.6 km,,True,https://food-cms.grab.com/compressed_webp/merchants/4-C33YV6JWRJBYCT/hero/3b9db62a-e393-48b0-9c33-13bca6933687__store_cover__2023__12__14__07__25__11.webp
255,Paradise Dynasty - Funan,"Chinese, Noodles, Rice",4.6,30 mins,1.1 km,20%Off!,True,https://food-cms.grab.com/compressed_webp/merchants/4-CYUTT6CDRUXXL6/hero/f38e1fa2989d430490e2d986bec50e54_1577068392228060023.webp
256,Paninoteca by d.o.c - South Bridge,"Breakfast & Brunch, Italian, Western",,30 mins,1.1 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C4B1R35FNF3AJA/hero/71eca09e-6ce1-4a70-9ea5-1e492c527a47__store_cover__2023__05__12__00__41__35.webp
257,espresso.doc - Chan Brother @ 68,"Pizza, Sandwiches, Breakfast, Coffee, Juice",4.4,25 mins,1.1 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C3LFA2NHGJ2BAN/hero/25fb1bd8cb40446dacf77c30400aad14_1680599844600682282.webp
258,umisushi - One Raffles Place,"Japanese, Bento, Sushi, Group Friendly",4.2,30 mins,1.2 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-CYUWR4KCVBLYGN/hero/94097cc7c6c740f08238498d0e07b39b_1589252420929220216.webp
259,Eventasty Noodle Bar 一碗田拉面 - Funan,"Local & Malaysian, Chinese, Noodles, BBQ & Grill",4.4,25 mins,0.6 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-CYXVJA6WAB3TAJ/hero/83cc6657ad9d43a98fd0e67d9b935c14_1604478171141843417.webp
260,Kopifellas - Change Alley Mall,"Chinese, Coffee & Tea, Drinks & Beverages, Dim Sum",4.9,20 mins,1.3 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C2XWJRCGEJKBGN/hero/42cd8cb5b0204026a5a677890cf1230d_1629352918771691664.webp
261,Tiong Bahru Bakery - Funan,"Drinks & Beverages, Bakery & Cake, Dessert, Coffee & Tea, French",4.4,30 mins,0.8 km,Free Delivery (Min. spend S$35) with GrabUnlimited,True,https://food-cms.grab.com/compressed_webp/merchants/4-CY6XVVMJBE5FRE/hero/b3d7e0204fd341ccb16c936165203d32_1669705952534073373.webp
262,Go Rogue - North Canal Road,"Japanese, Salad, Rice Bowls",4.6,30 mins,1.5 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C2TJDECDJJEWVT/hero/076f306f0e7e4d9898ef956de52f116c_1714889189725727776.webp
263,Nasty Cookie Factory - Funan,"Bakery & Cake, Snacks, Group Friendly",4.5,20 mins,0.8 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-CY5ERECHCEEKNE/hero/8e9020c66f144ad18f5b7e2ecc583a69_1618301767812171143.webp
264,Gin Khao - One Raffles Place,"Thai, Noodles",3.6,25 mins,1.5 km,,False,https://food-cms.grab.com/compressed_webp/merchants/SGDD00526/hero/426b9ab8df2642f8a956fada429fb41b_1657362798154774869.webp
265,Flavours by Saute - Funan,"Ramen, Halal, Healthy, Noodles, Vegan",4.6,30 mins,0.8 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-CZDWLYEBLF2XGT/hero/640ef6353718460a9059e477dc904ec9_1587709854224087389.webp
266,Komala's - Change Alley Mall,"Indian, Vegetarian Friendly",4.5,30 mins,1.3 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C2KFCVE1NZJXL6/hero/a0fae3f428a143b78115a789988d7602_1612514897725412240.webp
